,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.7945945945945946,0.8914728682170543,0.8273381294964028,0.8582089552238806,0.8704253988113856
Logistic Regression,0.7621621621621621,0.7777777777777778,0.9568345323741008,0.8580645161290322,0.6407569596496715
SVM,0.7513513513513513,0.7751479289940828,0.9424460431654677,0.8506493506493507,0.5880512980919612
Gradient Boosting,0.7621621621621621,0.8925619834710744,0.7769784172661871,0.8307692307692308,0.8464967156709414
K-Nearest Neighbors,0.6054054054054054,0.8235294117647058,0.60431654676259,0.6970954356846473,0.6318423522051924
